Partnership with CASA and resiliency hub. Shared value in strengthening our communities.,,"Resiliency - Sustainability,Community Resource",resilience hub,
"I would like to see ""People working on community projects as groups, learning marketable skills along the way."" In terms of concrete movement for this, I need some time to get established before this happened",,"Community Resource,Maker",skilled trades,
An effort towards off-grid living.,,"Resiliency - Sustainability,Experimentation",off grid and tiny house technology,
Continue zero-waste practices (including foodz project for food redistribution).,,"Zero waste,Community Resource","kitchen and food,zero waste projects",
"I want to see something that differentiates us from a standard community garden (please God, especially in Alameda) or the crucible.",,"Resiliency - Sustainability,Community Resource",,
Class on being creative with trash (trash hacking!),,"Zero waste,Experimentation",zero waste projects,
Class on container modifications (happy to teach one),,"Resiliency - Sustainability,Maker","workshops,skilled trades,off grid and tiny house technology",
"Students are given a pile of trash to pick from, and then have to repurpose their trash item using skills they aquire to make something useful, fun, beautiful etc. Students are encouraged to trade, barter, ask favors, borrow tools etc. Potential connections with urban ore, depot for creative reuse, etc.",,"Zero waste,Community Resource",activities for kids,
"conservation and wise use of ecosystem (water, electricity, how we manage the land)",,"Resiliency - Sustainability,Experimentation",green infrastucture,
Sheep and goat husbandry,,Farm,animals,
Cultivating herbal medicinal gardens and the orchard,,"Community Resource,Farm","gardens,providing material resouces",
Continue farming/gardening/animal raising.,,Farm,"gardens,animals",
gardens,,Farm,gardens,
Class on slaughtering animals! Humane killing and butchering! Tanning hides and preserving pelts.,,"Resiliency - Sustainability,Farm","animals,workshops",
"https://www.ted.com/talks/marcin_jakubowski_open_sourced_blueprints_for_civilization?language=en (the video description says: ""open-sourcing the blueprints for 50 farm machines, allowing anyone to build their own tractor or harvester from scratch."" More projects like what this guy does… high technology meets low technology. Deep maker farm vibes )",,"Resiliency - Sustainability,Experimentation","zero waste projects,agricultural projects",
I plan to facilitate murals with kids and offer my energy to support  creative arts for youth,,"Maker,Community Resource","art,activities for kids",
"Mix media art studio space, tea time & story time",,"Maker,Beauty - Enrichment - Fun","art,studio and workshop space for members,providing material resouces",
